Image,Cell Count,Flags,Diameters (microns),Areas (microns^2),File Path,File Name
1,6,Size and count warning,"[15.92, 29.76, 28.93, 14.54, 14.29, 13.25]","[198.97, 695.45, 657.23, 166.12, 160.33, 137.81]",/Users/Documents/Images/AnalysisTestImgs/Beads/arrayarduino_mar4_beads_20X_4_FLimage0001.png,arrayarduino_mar4_beads_20X_4_FLimage0001.png
2,0,,[],[],/Users/Documents/Images/AnalysisTestImgs/Beads/arrayarduino_mar4_beads_20X_4_FLimage0002.png,arrayarduino_mar4_beads_20X_4_FLimage0002.png
3,1,,[15.13],[179.75],/Users/Documents/Images/AnalysisTestImgs/Beads/arrayarduino_mar4_beads_20X_4_FLimage0003.png,arrayarduino_mar4_beads_20X_4_FLimage0003.png
4,0,,[],[],/Users/Documents/Images/AnalysisTestImgs/Beads/arrayarduino_mar4_beads_20X_4_FLimage0004.png,arrayarduino_mar4_beads_20X_4_FLimage0004.png
5,0,,[],[],/Users/Documents/Images/AnalysisTestImgs/Beads/arrayarduino_mar4_beads_20X_4_FLimage0005.png,arrayarduino_mar4_beads_20X_4_FLimage0005.png
6,1,,[14.37],[162.19],/Users/Documents/Images/AnalysisTestImgs/Beads/arrayarduino_mar4_beads_20X_4_FLimage0006.png,arrayarduino_mar4_beads_20X_4_FLimage0006.png
7,2,Count warning,"[15.04, 15.08]","[177.69, 178.51]",/Users/Documents/Images/AnalysisTestImgs/Beads/arrayarduino_mar4_beads_20X_4_FLimage0007.png,arrayarduino_mar4_beads_20X_4_FLimage0007.png
8,0,,[],[],/Users/Documents/Images/AnalysisTestImgs/Beads/arrayarduino_mar4_beads_20X_4_FLimage0008.png,arrayarduino_mar4_beads_20X_4_FLimage0008.png
9,0,,[],[],/Users/Documents/Images/AnalysisTestImgs/Beads/arrayarduino_mar4_beads_20X_4_FLimage0009.png,arrayarduino_mar4_beads_20X_4_FLimage0009.png
10,0,,[],[],/Users/Documents/Images/AnalysisTestImgs/Beads/arrayarduino_mar4_beads_20X_4_FLimage0010.png,arrayarduino_mar4_beads_20X_4_FLimage0010.png
11,0,,[],[],/Users/Documents/Images/AnalysisTestImgs/Beads/arrayarduino_mar4_beads_20X_4_FLimage0011.png,arrayarduino_mar4_beads_20X_4_FLimage0011.png
12,1,,[14.61],[167.56],/Users/Documents/Images/AnalysisTestImgs/Beads/arrayarduino_mar4_beads_20X_4_FLimage0012.png,arrayarduino_mar4_beads_20X_4_FLimage0012.png